US State:,Abbreviation:,
Alabama,AL,Central
Alaska,AK,Alaska
Arizona,AZ,Mountain
Arkansas,AR,Central
California,CA,Pacific
Colorado,CO,Mountain
Connecticut,CT,Eastern
Delaware,DE,Eastern
Florida,FL,Eastern
Georgia,GA,Eastern
Hawaii,HI,Aleutian
Idaho,ID,Mountain
Illinois,IL,Central
Indiana,IN,Eastern
Iowa,IA,Central
Kansas,KS,Central
Kentucky,KY,Eastern
Louisiana,LA,Central
Maine,ME,Eastern
Maryland,MD,Eastern
Massachusetts,MA,Eastern
Michigan,MI,Eastern
Minnesota,MN,Central
Mississippi,MS,Central
Missouri,MO,Central
Montana,MT,Mountain
Nebraska,NE,Central
Nevada,NV,Pacific
New Hampshire,NH,Eastern
New Jersey,NJ,Eastern
New Mexico,NM,Mountain
New York,NY,Eastern
North Carolina,NC,Eastern
North Dakota,ND,Central
Ohio,OH,Eastern
Oklahoma,OK,Central
Oregon,OR,Pacific
Pennsylvania,PA,Eastern
Rhode Island,RI,Eastern
South Carolina,SC,Eastern
South Dakota,SD,Central
Tennessee,TN,Central
Texas,TX,Central
Utah,UT,Mountain
Vermont,VT,Eastern
Virginia,VA,Eastern
Washington,WA,Pacific
West Virginia,WV,Eastern
Wisconsin,WI,Central
Wyoming,WY,Mountain
