순위,역명,2013년,2012년,2011년
1,강남,214355,207475,206712
2,잠실,150136,148506,149580
3,신림,146107,145983,147919
4,홍대입구,137019,126994,123841
5,신도림,130389,125671,117425
6,삼성,128295,138099,143675
7,구로디지털단지,125805,124422,122199
8,신촌,110448,112115,114035
9,을지로입구,108352,104750,103388
10,서울대입구,108311,107535,107859
11,선릉,107826,117905,121790
12,강변,106194,107981,111070
13,역삼,99258,100227,101767
14,사당,95154,95614,92900
15,건대입구,91992,92237,93443
16,교대,84325,85664,88885
17,대림,65177,64364,66191
18,합정,62260,54181,51308
19,낙성대,61771,61486,62170
20,시청,54503,51353,51656
21,신천,54025,53513,53083
22,신대방,53474,51920,50116
23,성수,50486,49285,48756
24,당산,50348,52107,55617
25,이대,49215,48874,49178
26,구의,48116,48485,49219
27,봉천,47629,46826,46802
28,방배,43910,44259,44576
29,영등포구청,43466,43598,43115
30,서초,40308,40208,38784
31,문래,39340,38497,38895
32,왕십리,37948,36209,35088
33,을지로3가,37171,34831,31692
34,잠실나루,36783,36826,37578
35,동대문역사문화공원,35789,36127,36643
36,종합운동장,35067,35322,35233
37,뚝섬,30807,33092,34032
38,신당,29546,28361,28097
39,한양대,26319,27199,28003
40,충정로,25724,25784,24273
41,을지로4가,25116,24728,25611
42,신정네거리,22959,23388,24205
43,상왕십리,19754,19020,18668
44,아현,16528,16724,18547
45,양천구청,16196,16314,16639
46,신설동,7788,7483,7587
47,용답,5517,5789,5743
48,용두,4367,4662,4656
49,신답,2961,3186,3373
50,도림천,1966,2035,2011
