YEAR,SEP,노선명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2012,subway,1호선,8341518,8255019,8830598,8306279,8856979,8208757,8387807,7879764,8145123,8645140,8827242,8605526
2012,subway,2호선,41414219,42585260,46188844,43828003,46251012,43411868,43857337,41621530,42609915,43897523,45093740,44722411
2012,subway,3호선,14661057,15119468,16547899,15623045,16595063,15635350,15707681,14685419,15346680,16089309,16384142,16265496
2012,subway,4호선,16402892,16762228,18931723,17958485,19240358,17674972,17218709,15850045,16850098,18155851,18494284,18242950
2012,subway,5호선,15534075,16002917,17586360,17084626,17854814,16618881,16558607,15480280,16041029,17104350,17352632,17250110
2012,subway,6호선,8409574,8699279,10071527,9644924,10368294,9505216,9223713,8666136,9343660,10002422,10010472,9596428
2012,subway,7호선,16873347,17260174,19304031,18509664,19527496,18149425,17872236,16833751,17708993,18880841,20721677,20374095
2012,subway,8호선,4294660,4394818,4917996,4729974,4945049,4577395,4485859,4207592,4456877,4651580,4746982,4794026
2012,subway,9호선,5810404,5940340,6471277,6536712,6600419,6337783,6491018,6177376,6359540,6801879,6853405,6814260
2012,subway,경부선,12970184,12961037,15569139,14917784,15776927,14375994,13642777,12977876,14395356,15284360,14998376,14525576
2012,subway,경원선,5469726,5499194,6600102,6484753,7008388,6351083,6105796,5770173,6339854,6853534,6711356,6343254
2012,subway,경의선,1355189,1379565,1650290,1615118,1758368,1603369,1558310,1440699,1614603,1716228,1680892,1627925
2012,subway,경인선,10527213,10704784,12483585,11945683,12683979,11701264,11172354,10491535,11390624,11906690,11018921,10606825
2012,subway,경춘선,877726,882853,972695,956381,1094053,955685,884332,912174,898396,1019999,914266,874475
2012,subway,공항철도 1호선,1501609,1542011,1693486,1667906,1838031,1767516,1795773,1822380,1765097,1938285,1911092,1953481
2012,subway,과천선,2637342,2752608,3135377,3231567,3456634,3121311,2998233,2792324,2984753,3292841,3177153,3154443
2012,subway,분당선,6213638,6364015,7044691,6647624,7006502,6545069,6558049,6110687,6433728,7359782,7981646,8938563
2012,subway,수인선,0,0,0,0,0,14927,428597,406709,480343,597509,554307,579572
2012,subway,안산선,3230317,3285701,3864056,3755298,4026968,3708440,3663299,3434288,3784362,4031181,3925138,3826429
2012,subway,일산선,2339696,2396438,2667314,2615996,2855313,2551393,2535159,2397334,2517649,2702375,2690289,2677453
2012,subway,장항선,311463,300445,465040,443214,478396,396659,310317,301329,412840,431665,417098,393858
2012,subway,중앙선,2328635,2357629,2800446,2734168,2998051,2726537,2627559,2485096,2686479,2891711,2799806,2636778
