년도,가격,상승율,누적상승율,물가상승율,누적물가상승율
1981,100,0,0,0,0
1982,100,0,0,7.2,7.2
1983,100,0,0,3.4,10.6
1984,100,0,0,2.3,12.9
1985,100,0,0,2.5,15.4
1986,100,0,0,2.8,18.2
1987,100,0,0,3,21.2
1988,100,0,0,7.1,28.3
1989,100,0,0,5.7,34
1990,100,0,0,8.6,42.6
1991,100,0,0,9.3,51.9
1992,100,0,0,6.2,58.1
1993,100,0,0,4.8,62.9
1994,300,200,200,6.3,69.2
1995,300,200,400,4.5,73.7
1996,300,200,600,4.9,78.6
1997,300,200,800,4.4,83
1998,450,50,850,7.5,90.5
1999,450,50,900,0.8,91.3
2000,450,50,950,2.3,93.6
2001,480,6.7,956.7,4.1,97.7
2002,480,6.7,963.3,2.8,100.5
2003,480,6.7,970,3.5,104
2004,480,0,970,3.6,107.6
2005,600,25,995,2.8,110.4
2006,600,25,1020,2.2,112.6
2007,650,8.3,1028.3,2.5,115.1
2008,750,15.4,1043.7,4.7,119.8
2009,750,15.4,1059.1,2.8,122.6
2010,750,15.4,1074.5,3,125.6
2011,750,15.4,1089.9,4,129.6
2012,750,15.4,1105.3,2.2,131.8
2013,943,25.7,1131.1,1.3,133.1
