역명,승차합계,하차합계
시 청(2),780471,865364
을지입구,1425862,1438643
을지3(2),449109,480325
을지4가,411232,419762
동운(2),623871,707384
신당,442928,463831
상왕십리,352160,332642
왕십리,495261,419840
한양대,522266,599709
뚝 섬,532206,544641
성 수,642477,707396
건 대,1428078,1520336
구 의,780889,762523
강 변,1958187,1900567
성 내,499059,480137
잠 실,2491504,2255165
신 천,665070,619381
종합운동,605066,661105
삼 성,2153134,2247358
선 릉,1893532,1814455
역 삼,1465665,1631149
강 남,2910770,3105252
교대(2),1272399,1404885
서 초,536997,570435
방 배,676591,683174
사당(2),1289718,1414463
낙성대,950148,911596
서울대,1617695,1624029
봉 천,776388,696755
신 림,2317361,2211588
신대방,757285,742847
구로공단,1730707,1756161
대 림,1020034,1041978
신도림,1560014,1495022
문 래,574743,569716
영등포구,667523,670321
당 산,1247059,1189170
합 정,846368,744507
홍 대,1628211,1718136
신 촌,1710438,1842452
이 대,830310,844680
아 현,429476,405023
충정로,352046,375926
용 답,89195,95077
신 답,64567,71482
신설동(2),156180,146884
도림천,19925,24224
양천구청,268598,274738
신정네거,414133,408989
용두역,63309,74553
